Sp,Latitude,Longitude,Year,Sex,Wing_Length,BroodFocalUse,Temp
Erynnis tages,51.513961,-1.206343,1885,undetermined,11.436,Summer_before,15.702
Erynnis tages,51.513961,-1.206343,1885,undetermined,12.047,Summer_before,15.702
Erynnis tages,51.808155,-1.287024,1886,undetermined,11.85,Summer_before,14.683
Erynnis tages,51.808155,-1.287024,1886,undetermined,12.535,Summer_before,14.683
Thymelicus sylvestris,51.2695,-0.373578,1887,male,13.011,Summer,16.26
Thymelicus sylvestris,50.664945,-2.338924,1887,female,13.456,Summer,15.992
Thymelicus sylvestris,50.664945,-2.338924,1887,male,12.662,Summer,15.992
Erynnis tages,51.2695,-0.373578,1888,undetermined,11.675,Summer_before,16.26
Pyrgus malvae,51.067775,-1.28873,1888,undetermined,11.62,Summer,14.095
Thymelicus sylvestris,52.671298,0.953194,1888,male,12.91,Summer,13.9
Thymelicus sylvestris,52.671298,0.953194,1888,male,12.379,Summer,13.9
Erynnis tages,51.827553,-2.119611,1890,undetermined,12.743,Summer_before,15.054
Erynnis tages,51.827553,-2.119611,1890,undetermined,13.172,Summer_before,15.054
Pyrgus malvae,51.067775,-1.28873,1890,undetermined,10.331,Summer,14.694
Pyrgus malvae,51.067775,-1.28873,1890,undetermined,11.66,Summer,14.694
Pyrgus malvae,51.067775,-1.28873,1890,undetermined,10.427,Summer,14.694
Thymelicus sylvestris,51.067775,-1.28873,1890,male,12.409,Summer,14.694
Thymelicus sylvestris,51.067775,-1.28873,1890,female,13.701,Summer,14.694
Thymelicus sylvestris,51.067775,-1.28873,1890,female,13.476,Summer,14.694
Thymelicus sylvestris,51.067775,-1.28873,1890,female,13.361,Summer,14.694
Pyrgus malvae,50.761012,-3.810213,1891,undetermined,11.117,Summer,14.378
Thymelicus sylvestris,50.664945,-2.338924,1891,male,12.542,Summer,14.756
Thymelicus sylvestris,50.664945,-2.338924,1891,female,12.403,Summer,14.756
Thymelicus sylvestris,51.067775,-1.28873,1891,female,12.671,Summer,14.994
Thymelicus sylvestris,51.067775,-1.28873,1891,male,12.862,Summer,14.994
Thymelicus sylvestris,50.664945,-2.338924,1891,male,12.847,Summer,14.756
Thymelicus sylvestris,51.067775,-1.28873,1891,female,12.509,Summer,14.994
Thymelicus sylvestris,50.664945,-2.338924,1891,male,13.193,Summer,14.756
Thymelicus sylvestris,50.664945,-2.338924,1891,female,13.919,Summer,14.756
Thymelicus sylvestris,51.067775,-1.28873,1891,male,11.893,Summer,14.994
Hesperia comma,51.808155,-1.287024,1892,male,12.434,Spring,6.937
Hesperia comma,50.664945,-2.338924,1892,male,14.093,Spring,7.566
Hesperia comma,50.664945,-2.338924,1892,female,14.635,Spring,7.566
Erynnis tages,51.2695,-0.373578,1893,undetermined,11.212,Summer_before,14.612
Pyrgus malvae,51.067775,-1.28873,1893,undetermined,11.029,Summer,16.795
Pyrgus malvae,51.067775,-1.28873,1893,undetermined,10.747,Summer,16.795
Pyrgus malvae,51.808155,-1.287024,1893,undetermined,11.162,Summer,16.333
Pyrgus malvae,51.811679,0.559814,1893,undetermined,11.172,Summer,16.564
Pyrgus malvae,51.2695,-0.373578,1895,undetermined,11.382,Summer,15.671
Hesperia comma,51.513961,-1.206343,1895,male,12.84,Spring,8.739
Hesperia comma,51.513961,-1.206343,1895,male,12.966,Spring,8.739
Hesperia comma,51.513961,-1.206343,1895,female,14.252,Spring,8.739
Hesperia comma,51.2695,-0.373578,1895,male,11.978,Spring,8.701
Hesperia comma,51.2695,-0.373578,1895,male,13.21,Spring,8.701
Hesperia comma,51.2695,-0.373578,1895,female,13.978,Spring,8.701
Hesperia comma,51.2695,-0.373578,1895,female,13.893,Spring,8.701
Hesperia comma,51.513961,-1.206343,1895,female,15.346,Spring,8.739
Hesperia comma,51.2695,-0.373578,1895,female,14.151,Spring,8.701
Hesperia comma,51.2695,-0.373578,1895,female,13.777,Spring,8.701
Hesperia comma,51.2695,-0.373578,1895,male,13.84,Spring,8.701
Pyrgus malvae,51.808155,-1.287024,1896,undetermined,11.051,Summer,15.557
Pyrgus malvae,51.808155,-1.287024,1896,undetermined,11.13,Summer,15.557
Pyrgus malvae,51.808155,-1.287024,1896,undetermined,11.411,Summer,15.557
Thymelicus sylvestris,50.761012,-3.810213,1896,male,12.794,Summer,15.508
Thymelicus sylvestris,51.808155,-1.287024,1896,male,12.334,Summer,15.557
Thymelicus sylvestris,51.808155,-1.287024,1896,female,13.492,Summer,15.557
Erynnis tages,50.836456,-0.534602,1897,undetermined,12.191,Summer_before,15.985
Erynnis tages,50.836456,-0.534602,1897,undetermined,12.302,Summer_before,15.985
Erynnis tages,50.836456,-0.534602,1897,undetermined,12.135,Summer_before,15.985
Pyrgus malvae,51.808155,-1.287024,1897,undetermined,12.198,Summer,15.674
Hesperia comma,51.513961,-1.206343,1897,male,12.199,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,14.302,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,13.63,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,13.516,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,12.432,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,female,15.053,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,12.837,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,13.073,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,14.063,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,13.069,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,female,15.226,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,13.707,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,14.61,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,male,13.602,Spring,7.935
Hesperia comma,51.513961,-1.206343,1897,female,15.638,Spring,7.935
Thymelicus sylvestris,50.761012,-3.810213,1897,female,14.038,Summer,15.828
Thymelicus sylvestris,51.808155,-1.287024,1897,male,12.42,Summer,15.674
Thymelicus sylvestris,51.808155,-1.287024,1897,male,12.974,Summer,15.674
Thymelicus sylvestris,51.808155,-1.287024,1897,female,12.582,Summer,15.674
Thymelicus sylvestris,51.808155,-1.287024,1897,female,13.442,Summer,15.674
Hesperia comma,51.2695,-0.373578,1898,female,15.422,Spring,7.821
Hesperia comma,51.2695,-0.373578,1898,female,13.414,Spring,7.821
Hesperia comma,51.2695,-0.373578,1898,female,13.507,Spring,7.821
Hesperia comma,51.2695,-0.373578,1898,female,14.184,Spring,7.821
Erynnis tages,51.067775,-1.28873,1899,undetermined,11.745,Summer_before,15.713
Erynnis tages,51.067775,-1.28873,1899,undetermined,12.536,Summer_before,15.713
Erynnis tages,51.067775,-1.28873,1899,undetermined,12.778,Summer_before,15.713
Thymelicus sylvestris,50.664945,-2.338924,1899,female,12.865,Summer,16.967
Thymelicus sylvestris,50.664945,-2.338924,1899,female,13.958,Summer,16.967
Thymelicus sylvestris,50.664945,-2.338924,1899,female,13.512,Summer,16.967
Erynnis tages,51.827269,-0.790141,1900,undetermined,12.35,Summer_before,16.948
Erynnis tages,51.827269,-0.790141,1900,undetermined,12.85,Summer_before,16.948
Erynnis tages,51.827269,-0.790141,1900,undetermined,12.366,Summer_before,16.948
Pyrgus malvae,51.808155,-1.287024,1900,undetermined,11.53,Summer,15.713
Pyrgus malvae,51.808155,-1.287024,1900,undetermined,11.561,Summer,15.713
Pyrgus malvae,51.2695,-0.373578,1900,undetermined,12.208,Summer,16.329
Hesperia comma,51.2695,-0.373578,1900,male,13.153,Spring,7.636
Thymelicus sylvestris,50.576067,-1.28074,1900,male,12.865,Summer,16.487
Thymelicus sylvestris,51.2695,-0.373578,1900,female,13.274,Summer,16.329
Erynnis tages,51.827269,-0.790141,1901,undetermined,12.821,Summer_before,16.017
Erynnis tages,51.827269,-0.790141,1901,undetermined,12.543,Summer_before,16.017
Erynnis tages,51.827269,-0.790141,1901,undetermined,11.808,Summer_before,16.017
Pyrgus malvae,51.808155,-1.287024,1901,undetermined,11.959,Summer,15.606
Pyrgus malvae,51.808155,-1.287024,1901,undetermined,11.225,Summer,15.606
Pyrgus malvae,51.067775,-1.28873,1901,undetermined,11.144,Summer,16.008
Pyrgus malvae,51.808155,-1.287024,1901,undetermined,11.766,Summer,15.606
Hesperia comma,51.2695,-0.373578,1901,female,13.803,Spring,7.889
Hesperia comma,51.2695,-0.373578,1901,male,13.053,Spring,7.889
Hesperia comma,51.2695,-0.373578,1901,female,13.816,Spring,7.889
Hesperia comma,51.2695,-0.373578,1901,male,12.204,Spring,7.889
Hesperia comma,51.2695,-0.373578,1901,male,13.087,Spring,7.889
Pyrgus malvae,51.808155,-1.287024,1902,undetermined,12.091,Summer,14.139
Thymelicus sylvestris,51.2695,-0.373578,1903,male,12.738,Summer,14.567
Hesperia comma,51.2695,-0.373578,1904,male,13.275,Spring,8.332
Hesperia comma,51.2695,-0.373578,1904,male,13.705,Spring,8.332
Hesperia comma,51.2695,-0.373578,1904,male,13.143,Spring,8.332
Hesperia comma,51.2695,-0.373578,1904,female,14.285,Spring,8.332
